Sample,Elapsed (s),Write Speed (MB/s)
1,0.501,718.02
2,1.003,677.23
3,1.504,687.53
4,2.006,692.92
5,2.511,673.24
6,3.012,686.52
7,3.513,686.32
8,4.015,653.40
9,4.518,692.45
10,5.020,669.16
11,5.524,674.51
12,6.027,691.31
13,6.530,692.54
14,7.031,678.55
15,7.535,674.02
16,8.038,644.83
17,8.542,651.06
18,9.045,691.60
19,9.550,665.32
20,10.051,670.92
21,10.552,678.84
22,11.055,643.83
23,11.557,660.53
24,12.058,671.01
25,12.563,658.06
26,13.068,681.23
27,13.568,671.86
28,14.074,624.81
29,14.574,663.73
30,15.076,676.82
31,15.578,645.32
32,16.082,650.40
33,16.600,657.14
34,17.102,661.30
35,17.604,661.31
36,18.105,662.66
37,18.610,641.89
38,19.115,681.39
39,19.615,687.56
40,20.117,652.91
41,20.622,680.96
42,21.124,646.58
43,21.624,671.54
44,22.127,675.70
45,22.629,676.91
46,23.133,659.44
47,23.635,668.47
48,24.140,657.42
49,24.642,685.22
50,25.147,658.10
51,25.649,676.72
52,26.150,607.04
53,26.656,624.47
54,27.158,637.37
55,27.658,623.82
56,28.159,615.06
57,28.661,629.60
58,29.169,646.29
59,29.671,620.71
60,30.172,646.47
61,30.684,657.25
62,31.188,666.64
63,31.690,644.55
64,32.200,588.03
65,32.702,597.67
66,33.205,652.55
67,33.709,627.33
68,34.214,554.48
69,34.718,611.40
70,35.218,630.91
71,35.721,612.81
72,36.223,629.98
73,36.726,644.01
74,37.227,638.68
75,37.729,597.39
76,38.232,635.81
77,38.735,644.68
78,39.235,623.33
79,39.736,623.17
80,40.239,596.15
81,40.742,636.15
82,41.247,649.22
83,41.752,626.76
84,42.257,657.52
85,42.761,634.48
86,43.261,639.81
87,43.765,643.03
88,44.269,634.77
89,44.774,626.08
90,45.278,587.54
91,45.778,607.92
92,46.282,633.90
93,46.787,610.70
94,47.290,643.75
95,47.791,615.31
96,48.296,632.99
97,48.800,626.89
98,49.301,639.25
99,49.802,598.75
100,50.303,599.11
101,50.806,619.48
102,51.308,629.67
103,51.809,607.02
104,52.311,597.94
105,52.818,661.82
106,53.322,666.96
107,53.826,643.13
108,54.329,636.62
109,54.831,653.38
110,55.333,669.39
111,55.847,653.65
112,56.351,682.35
113,56.851,663.93
114,57.351,663.19
115,57.855,682.93
116,58.356,647.13
117,58.859,651.92
118,59.363,658.40
119,59.868,649.26
120,60.371,652.12
121,60.873,629.51
122,61.379,641.30
123,61.885,655.04
124,62.386,646.60
125,62.890,634.93
126,63.391,607.45
127,63.898,599.99
128,64.401,619.40
129,64.904,596.64
130,65.404,623.55
131,65.906,598.45
132,66.415,604.28
133,66.923,622.19
134,67.425,637.72
135,67.929,595.56
136,68.432,636.59
137,68.934,637.49
138,69.437,596.19
139,69.939,596.92
140,70.441,597.66
141,70.952,610.96
142,71.456,658.75
143,71.960,658.11
144,72.463,628.69
145,72.969,632.59
146,73.473,634.12
147,73.977,619.90
148,74.503,562.42
149,75.006,675.51
150,75.507,654.76
151,76.012,610.32
152,76.514,661.50
153,77.016,628.86
154,77.518,598.44
155,78.020,629.50
156,78.520,671.05
157,79.024,651.74
158,79.530,655.77
159,80.033,635.95
160,80.533,639.75
161,81.038,642.15
162,81.542,650.51
163,82.045,644.84
164,82.546,694.07
165,83.060,684.71
166,83.565,673.77
167,84.065,679.17
168,84.568,652.55
169,85.073,649.68
170,85.577,666.18
171,86.078,503.31
172,86.587,306.50
173,87.092,292.85
174,87.601,282.81
175,88.113,273.78
176,88.620,275.91
177,89.125,261.67
178,89.643,262.10
179,90.146,294.57
180,90.650,317.47
181,91.153,294.09
182,91.658,301.13
183,92.170,296.55
184,92.672,278.88
185,93.183,289.82
186,93.693,266.86
187,94.206,288.28
188,94.717,289.76
189,95.229,281.21
190,95.741,273.38
191,96.249,283.41
192,96.761,273.45
193,97.316,194.59
194,97.831,178.75
195,98.332,167.63
196,98.833,159.77
197,99.343,172.55
198,99.871,174.16
199,100.380,172.98
200,100.889,164.97
201,101.394,166.44
202,101.907,163.61
203,102.426,161.71
204,102.945,161.96
205,103.448,167.09
206,103.948,159.82
207,104.474,144.60
208,104.988,179.09
209,105.501,171.49
210,106.015,163.40
211,106.528,163.63
212,107.039,164.45
213,107.550,164.34
214,108.061,164.55
215,108.564,158.92
216,109.085,153.70
217,109.599,163.40
218,110.120,161.13
219,110.631,156.68
220,111.147,147.12
221,111.648,159.67
222,112.164,154.98
223,112.684,153.86
224,113.204,154.07
225,113.705,143.68
226,114.255,138.03
227,114.759,158.72
228,115.264,166.38
229,115.789,152.57
230,116.301,163.80
231,116.805,150.88
232,117.311,158.27
233,117.824,140.26
234,118.331,165.49
235,118.833,151.47
236,119.350,154.66
237,119.863,148.20
238,120.371,157.46
239,120.880,149.46
240,121.387,157.79
241,121.895,141.56
242,122.408,148.31
243,122.912,134.85
244,123.428,147.19
245,123.951,145.57
246,124.487,126.74
247,125.004,162.59
248,125.510,173.92
249,126.014,158.76
250,126.531,169.99
251,127.041,149.13
252,127.561,169.24
253,128.088,159.50
254,128.609,161.20
255,129.125,147.19
256,129.631,150.27
257,130.147,154.89
258,130.666,169.77
259,131.176,156.77
260,131.693,154.76
261,132.210,170.12
262,132.712,167.38
263,133.225,163.79
264,133.764,163.25
265,134.268,166.46
266,134.773,158.54
267,135.299,167.33
268,135.816,154.58
269,136.327,164.40
270,136.835,157.59
271,137.335,159.88
272,137.857,153.28
273,138.400,140.15
274,138.902,167.27
275,139.408,166.05
276,139.916,157.43
277,140.435,161.83
278,140.937,159.40
279,141.449,163.86
280,141.960,156.76
281,142.476,162.55
282,142.977,151.91
283,143.497,161.47
284,144.017,153.84
285,144.546,158.90
286,145.064,138.77
287,145.580,147.45
288,146.092,163.89
289,146.598,174.14
290,147.111,171.62
291,147.611,167.91
292,148.124,163.63
293,148.633,164.98
294,149.150,170.30
295,149.660,156.76
296,150.171,156.60
297,150.674,151.01
298,151.179,166.66
299,151.686,157.57
300,152.187,159.61
301,152.711,152.92
302,153.220,172.74
303,153.731,164.40
304,154.245,171.30
305,154.774,151.22
306,155.284,164.47
307,155.798,155.65
308,156.301,159.17
309,156.822,153.52
310,157.329,165.67
311,157.846,154.71
312,158.360,163.54
313,158.864,158.65
314,159.396,143.02
315,159.905,164.94
316,160.423,154.45
317,160.927,174.40
318,161.445,170.07
319,161.972,167.09
320,162.472,167.70
321,162.978,166.22
322,163.480,159.45
323,163.986,165.96
324,164.499,155.74
325,165.010,164.34
326,165.516,158.09
327,166.018,159.52
328,166.528,156.97
329,167.039,164.14
330,167.561,168.78
331,168.062,159.50
332,168.582,161.73
333,169.088,150.11
334,169.616,166.75
335,170.126,156.86
336,170.645,161.78
337,171.152,157.76
338,171.662,164.87
339,172.182,153.78
340,172.700,162.11
341,173.209,141.55
342,173.732,130.03
343,174.248,162.79
344,174.763,163.01
345,175.279,147.27
346,175.797,162.01
347,176.301,166.87
348,176.809,165.41
349,177.324,155.26
350,177.859,157.12
351,178.380,161.14
352,178.893,155.91
353,179.412,161.88
354,179.915,151.03
355,180.417,151.33
356,180.921,158.84
357,181.424,167.06
358,181.944,161.47
359,182.459,170.93
360,182.965,158.13
361,183.468,159.09
362,183.983,155.28
363,184.499,162.80
364,185.009,148.98
365,185.521,163.85
366,186.041,153.92
367,186.567,159.65
368,187.087,146.19
369,187.616,151.37
370,188.133,162.39
371,188.639,166.04
372,189.149,156.82
373,189.653,158.86
374,190.158,142.37
375,190.668,164.79
376,191.177,164.96
377,191.691,163.38
378,192.198,165.88
379,192.726,151.51
380,193.238,163.89
381,193.758,154.03
382,194.264,142.38
383,194.765,167.63
384,195.275,172.44
385,195.778,158.88
386,196.280,167.39
387,196.798,169.98
388,197.326,159.22
389,197.841,170.65
390,198.346,158.56
391,198.847,151.71
392,199.362,155.33
393,199.887,159.82
394,200.413,159.94
395,200.920,157.77
396,201.444,145.01
397,201.963,169.37
398,202.483,161.57
399,203.007,168.00
400,203.525,162.09
401,204.051,152.27
402,204.552,151.47
403,205.068,147.32
404,205.585,162.53
405,206.091,165.89
406,206.594,159.33
407,207.102,157.22
408,207.606,158.76
409,208.109,151.14
410,208.618,157.12
411,209.139,153.53
412,209.658,169.68
413,210.178,153.91
414,210.697,146.33
415,211.211,148.06
416,211.731,169.00
417,212.248,154.89
418,212.762,155.49
419,213.264,151.55
420,213.778,155.59
421,214.286,149.42
422,214.792,158.26
423,215.308,147.18
424,215.828,154.06
425,216.334,158.11
426,216.843,164.85
427,217.353,156.97
428,217.860,165.58
429,218.374,155.57
430,218.875,143.85
431,219.376,151.59
432,219.877,151.72
433,220.378,159.78
434,220.899,161.23
435,221.404,158.28
436,221.921,154.95
437,222.428,157.75
438,222.940,148.44
439,223.459,169.42
440,223.976,162.41
441,224.488,172.05
442,224.996,102.25
443,225.538,103.45
444,226.066,113.67
445,226.581,100.96
446,227.088,110.31
447,227.590,111.62
448,228.090,151.95
449,228.593,159.17
450,229.110,154.71
451,229.629,161.90
452,230.142,148.18
453,230.661,146.18
454,231.175,163.46
455,231.715,155.65
456,232.220,166.20
457,232.777,129.35
458,233.314,104.32
459,233.838,106.81
460,234.362,99.35
461,234.876,108.83
462,235.395,107.85
463,235.899,135.05
464,236.411,156.36
465,236.929,146.47
466,237.450,161.23
467,237.955,158.55
468,238.483,159.02
469,239.000,100.61
470,239.524,114.58
471,240.043,115.46
472,240.575,97.85
473,241.090,108.74
474,241.600,101.95
475,242.107,157.67
476,242.614,150.09
477,243.116,159.08
478,243.618,159.60
479,244.119,159.55
480,244.639,146.17
481,245.142,158.94
482,245.650,141.74
483,246.153,159.10
484,246.661,141.88
485,247.172,156.39
486,247.687,155.51
487,248.197,164.59
488,248.704,157.82
489,249.207,159.03
490,249.720,156.09
491,250.232,163.99
492,250.743,164.33
493,251.260,162.46
494,251.762,151.49
495,252.265,158.87
496,252.789,114.44
497,253.298,110.14
498,253.834,104.50
499,254.357,99.31
500,254.860,95.58
501,255.381,99.65
502,256.681,3.08
503,257.191,141.30
504,257.706,139.73
505,258.214,141.69
506,258.716,127.45
507,259.219,143.34
508,259.727,133.62
509,260.245,131.52
510,260.749,126.94
511,261.262,140.28
512,261.766,127.09
513,262.280,139.88
514,262.793,124.83
515,263.310,147.06
516,263.826,162.67
517,264.343,162.60
518,264.861,162.16
519,265.380,154.05
520,265.890,157.03
521,266.400,156.67
522,266.911,156.67
523,267.422,148.58
524,267.938,162.78
525,268.459,153.58
526,268.994,104.73
527,269.527,105.06
528,270.046,92.44
529,270.560,101.29
530,271.078,92.64
531,271.579,95.81
532,272.084,166.27
533,272.592,157.47
534,273.105,171.42
535,273.613,157.73
536,274.121,157.31
537,274.634,163.86
538,275.141,157.79
539,275.662,161.18
540,276.183,153.59
541,276.703,145.97
542,277.223,161.52
543,277.751,159.35
544,278.266,147.39
545,278.792,136.85
546,279.308,108.69
547,279.815,102.39
548,280.360,110.09
549,280.873,109.18
550,281.396,99.50
551,281.897,143.80
552,282.398,159.46
553,282.904,166.07
554,283.405,151.73
555,283.908,159.21
556,284.408,151.72
557,284.937,151.37
558,285.446,149.38
559,285.959,155.79
560,286.478,131.18
561,287.002,106.89
562,287.528,106.38
563,288.068,96.26
564,288.584,100.87
565,289.117,112.47
566,289.634,115.99
567,290.150,162.88
568,290.653,158.94
569,291.156,167.26
570,291.658,159.23
571,292.158,151.97
572,292.669,156.59
573,293.188,154.14
574,293.707,146.36
575,294.217,149.15
576,294.719,135.35
577,295.237,162.24
578,295.750,155.85
579,296.265,163.07
580,296.772,150.09
581,297.286,163.28
582,297.810,152.62
583,298.329,154.38
584,298.865,119.29
585,299.388,107.19
586,299.891,95.28
587,300.418,106.28
588,300.926,102.43
589,301.429,95.37
590,301.936,150.09
591,302.445,149.06
592,302.952,142.05
593,303.465,163.93
594,303.979,155.56
595,304.481,159.23
596,305.004,107.21
597,305.537,97.58
598,306.043,94.84
599,306.543,103.97
600,307.059,108.42
601,307.574,101.06
602,308.092,162.09
603,308.612,153.94
604,309.113,151.59
605,309.627,155.83
606,310.139,155.99
607,310.659,138.69
608,311.160,95.65
609,311.669,102.25
610,312.206,96.85
611,312.712,102.66
612,313.237,114.45
613,313.755,123.58
614,314.256,167.59
615,314.770,124.55
616,315.290,107.69
617,315.817,98.60
618,316.320,111.37
619,316.841,107.48
620,317.349,94.50
621,317.874,106.57
622,318.397,99.56
623,318.913,92.94
624,319.439,98.78
625,319.940,151.75
626,320.462,153.23
627,320.983,138.20
628,321.510,151.93
629,322.030,161.37
630,322.545,155.38
631,323.068,160.81
632,323.592,145.09
633,324.096,150.68
634,324.606,133.40
635,325.113,102.51
636,325.636,99.40
637,326.152,108.61
638,326.666,108.80
639,327.192,99.01
640,327.705,124.55
641,328.216,156.62
642,328.735,154.09
643,329.270,142.06
644,329.771,159.67
645,330.275,158.71
646,330.800,129.73
647,331.313,101.32
648,331.847,97.31
649,332.377,105.72
650,332.890,101.28
651,333.401,101.78
652,333.901,151.94
653,334.406,158.42
654,334.925,154.29
655,335.442,154.58
656,335.949,157.82
657,336.473,145.25
658,336.996,160.36
659,337.508,140.64
660,338.009,159.85
661,338.524,163.18
662,339.041,162.39
663,339.544,158.92
664,340.060,155.02
665,340.598,141.35
666,341.117,107.84
667,341.637,92.35
668,342.170,97.49
669,342.688,108.18
670,343.192,103.23
671,343.710,123.57
672,344.226,154.84
673,344.740,155.83
674,345.262,153.07
675,345.772,149.25
676,346.291,154.00
677,346.805,140.14
678,347.320,108.81
679,347.821,95.69
680,348.324,103.46
681,348.844,99.92
682,349.368,91.63
683,349.874,142.17
684,350.394,161.69
685,350.895,167.55
686,351.414,154.19
687,351.943,158.73
688,352.459,147.35
689,352.959,151.97
690,353.474,139.95
691,353.994,138.41
692,354.505,164.50
693,355.006,103.73
694,355.514,102.36
695,356.016,103.66
696,356.541,106.67
697,357.075,97.20
698,357.604,105.93
699,358.126,99.65
700,358.663,96.89
701,359.179,100.74
702,359.689,102.01
703,360.209,92.25
704,360.722,101.41
705,361.249,98.58
706,361.762,124.72
707,362.280,154.43
708,362.785,158.53
709,363.292,157.78
710,363.810,139.05
711,364.315,158.50
712,364.842,159.17
713,365.370,166.60
714,365.887,154.73
715,366.418,150.90
716,366.921,111.22
717,367.449,106.09
718,367.971,107.24
719,368.488,100.64
720,369.020,105.26
721,369.555,97.15
722,370.072,147.15
723,370.590,146.56
724,371.091,95.80
725,371.621,98.18
726,372.132,93.95
727,372.642,86.29
728,373.172,105.59
729,373.702,113.21
730,374.214,156.19
731,374.741,152.04
732,375.248,149.85
733,375.765,146.86
734,376.283,162.39
735,376.852,126.45
736,377.373,107.51
737,377.888,100.99
738,378.418,90.44
739,378.936,100.39
740,379.458,91.93
741,379.959,143.97
742,380.462,158.89
743,380.963,151.69
744,381.475,140.65
745,381.989,155.71
746,382.498,164.85
747,383.013,101.09
748,383.543,113.20
749,384.043,103.96
750,384.586,95.73
751,385.101,108.69
752,385.627,106.58
753,386.151,91.58
754,386.673,107.25
755,387.186,109.07
756,387.709,91.81
757,388.221,101.58
758,388.740,107.87
759,389.274,97.42
760,389.798,129.89
761,390.312,147.63
762,390.840,136.44
763,391.344,150.81
764,391.858,155.70
765,392.369,148.72
766,392.882,163.62
767,393.397,155.42
768,393.902,158.53
769,394.409,157.74
770,394.946,111.77
771,395.467,99.75
772,396.000,97.52
773,396.519,100.24
774,397.043,91.59
775,397.569,98.83
776,398.082,140.51
777,398.583,143.57
778,399.104,107.56
779,399.610,94.92
780,400.139,105.81
781,400.674,112.08
782,401.178,103.10
783,401.694,124.06
784,402.215,153.66
785,402.720,158.51
786,403.224,150.74
787,403.745,153.54
788,404.245,151.92
789,404.761,155.13
790,405.266,150.47
791,405.780,155.52
792,406.288,141.75
793,406.820,135.37
794,407.345,99.03
795,407.850,87.14
796,408.360,101.98
797,408.874,109.01
798,409.386,101.43
799,409.887,143.85
800,410.404,154.84
801,410.935,112.89
802,411.440,103.03
803,411.960,99.96
804,412.471,109.56
805,412.991,99.94
806,413.519,98.61
807,414.031,164.02
808,414.535,150.69
809,415.062,98.63
810,415.606,95.73
811,416.135,98.25
812,416.676,96.07
813,417.200,91.63
814,417.735,119.72
815,418.249,163.21
816,418.760,156.55
817,419.267,157.87
818,419.785,162.34
819,420.301,154.99
820,420.802,159.49
821,421.308,158.27
822,421.831,160.65
823,422.334,151.01
824,422.841,118.34
825,423.356,100.98
826,423.889,97.57
827,424.400,101.66
828,424.917,108.31
829,425.435,92.82
830,425.951,131.58
831,426.455,150.76
832,426.974,154.30
833,427.480,150.17
834,427.997,154.81
835,428.501,150.79
836,429.032,97.81
837,429.553,107.67
838,430.070,92.67
839,430.598,106.14
840,431.131,105.11
841,431.655,91.50
842,432.156,111.84
843,432.704,94.89
844,433.217,101.35
845,433.723,102.78
846,434.267,95.55
847,434.777,101.99
848,435.322,88.05
849,435.846,122.18
850,436.359,163.87
851,436.864,158.35
852,437.377,163.89
853,437.886,157.16
854,438.388,151.36
855,438.911,160.48
856,439.417,158.06
857,439.928,148.66
858,440.448,161.81
859,440.960,148.46
860,441.471,156.37
861,441.987,155.06
862,442.501,155.78
863,443.003,87.53
864,443.524,99.86
865,444.035,109.59
866,444.558,99.39
867,445.082,107.00
868,445.608,106.36
869,446.111,95.40
870,446.636,99.14
871,447.159,99.33
872,447.674,93.20
873,448.205,105.47
874,448.729,99.33
875,449.230,103.69
876,449.744,124.45
877,450.263,138.97
878,450.767,126.97
879,451.280,101.23
880,451.786,86.93
881,452.318,97.91
882,452.823,102.87
883,453.325,87.69
884,453.847,107.28
885,454.348,151.64
886,454.858,156.97
887,455.360,159.42
888,455.887,166.88
889,456.400,155.76
890,456.909,157.38
891,457.414,150.56
892,457.914,159.71
893,458.433,154.16
894,458.941,157.58
895,459.447,150.10
